_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Cluster,anomaly_score,Model_Result,Final_Result
17,102,16,1750496101867,29,1750920811701.0,424709834.0,True,-1,0,0,0,2,0,2,139.0,0,80,80,378,11,1750503301867.0,252,1,93543,8,False,0,110,11,14,False,94710.0,0,2,4.460141598153888,Anomaly,Anomaly
20,41,19,1750660202519,11,1750660653626.0,451107.0,True,-1,0,0,0,2,0,0,137.0,0,369,369,200,14,1750667402519.0,15,1,117510,3,True,0,229,4,8,False,117320.0,0,2,4.270617287987521,Anomaly,Anomaly
21,41,20,1750660676249,12,1750661076262.0,400013.0,True,-1,0,0,0,2,0,0,137.0,0,367,367,57,15,1750667876249.0,12,1,117510,3,True,0,230,4,8,False,117320.0,0,2,4.417257794842119,Anomaly,Anomaly
29,94,28,1750829047538,17,1750833569062.0,4521524.0,True,-1,1,0,0,0,0,1,137.0,0,170,170,350,21,1750836247538.0,470,1,3612,33,True,0,380,61,51,False,4779.0,0,2,7.186563835688654,Anomaly,Anomaly
35,32,34,1750834280071,89,1751209034767.0,374754696.0,True,-1,0,0,0,2,0,0,137.0,0,159,159,1,27,1750841480071.0,482,1,3612,33,False,0,383,61,51,False,4779.0,0,2,4.247413795246374,Anomaly,Anomaly
46,92,45,1750854273116,27,1750863867767.0,9594651.0,True,-1,1,0,0,0,0,1,137.0,0,297,297,73,33,1750861473116.0,447,1,106293,14,False,0,156,24,26,False,106161.0,0,2,7.021093601034883,Anomaly,Anomaly
334,66,333,1751709866266,-1,,7200000.0,True,-1,0,0,0,2,0,0,137.0,0,9,9,309,275,1751717066266.0,191,1,77800,16,False,0,263,29,29,False,78967.0,0,2,4.210236526515295,Anomaly,Anomaly
87,113,86,1750933908421,50,1750934212607.0,304186.0,True,-1,0,0,0,2,0,2,139.0,0,366,366,38,58,1750941108421.0,17,1,117510,3,True,0,231,4,8,False,117320.0,0,2,4.333803451411957,Anomaly,Anomaly
88,113,87,1750934246598,51,1750935356273.0,1109675.0,True,-1,0,0,0,2,0,2,139.0,0,368,368,100,59,1750941446598.0,18,1,117510,3,True,0,232,4,8,False,117320.0,0,2,4.222764641675949,Anomaly,Anomaly
90,58,89,1750936956881,52,1750937931781.0,974900.0,True,-1,0,0,0,2,1,2,115.0,0,30,30,167,61,1750944156881.0,285,1,85116,11,True,0,355,21,19,False,86283.0,0,2,5.616334776161168,Anomaly,Anomaly
96,17,95,1750941494606,57,1750941643245.0,148639.0,True,-1,0,0,0,1,4,0,137.0,0,388,388,70,67,1750948694606.0,489,1,999999,22,True,0,2,44,30,False,999999.0,0,1,6.4101283281682955,Anomaly,Anomaly
147,57,146,1751270615656,95,1751271252941.0,637285.0,True,-1,0,0,0,2,1,2,115.0,0,36,36,293,105,1751277815656.0,284,1,85116,11,True,0,356,21,19,False,86283.0,0,2,5.563375583950176,Anomaly,Anomaly
72,100,71,1750929598858,133,1751354688756.0,425089898.0,True,-1,0,0,0,2,0,0,137.0,0,51,51,229,46,1750936798858.0,360,1,89630,41,False,0,255,73,59,False,90797.0,0,2,4.432350029826029,Anomaly,Anomaly
81,93,80,1750932408264,64,1751007105679.0,74697415.0,True,-1,1,0,0,0,0,1,137.0,0,306,306,130,55,1750939608264.0,442,1,106293,14,False,0,158,24,26,False,106161.0,0,2,6.915048467404515,Anomaly,Anomaly
148,57,147,1751271266887,96,1751271543674.0,276787.0,True,-1,0,0,0,2,1,2,115.0,0,27,27,193,106,1751278466887.0,280,1,85116,11,True,0,357,21,19,False,86283.0,0,2,5.56257310581444,Anomaly,Anomaly
386,38,385,1751959640757,-1,,,False,3,0,0,0,2,0,0,137.0,0,-1,-1,-1,-1,,190,1,117896,44,False,0,413,-1,65,False,117685.0,0,0,4.4385976867230275,Anomaly,Anomaly
387,38,386,1751959729342,-1,,,False,3,0,0,0,2,0,0,137.0,0,-1,-1,-1,-1,,187,1,117896,44,False,0,413,-1,65,False,117685.0,0,0,4.442089451152523,Anomaly,Anomaly
153,57,152,1751277020020,100,1751278029647.0,1009627.0,True,-1,0,0,0,2,1,2,115.0,0,37,37,313,111,1751284220020.0,275,1,85116,11,True,0,358,21,19,False,86283.0,0,2,5.58142480854128,Anomaly,Anomaly
155,57,154,1751278043034,101,1751278248976.0,205942.0,True,-1,0,0,0,2,1,2,115.0,0,29,29,165,113,1751285243034.0,281,1,85116,11,True,0,359,21,19,False,86283.0,0,2,5.56766062436202,Anomaly,Anomaly
156,57,155,1751278259127,102,1751278289190.0,30063.0,True,-1,0,0,0,2,1,2,115.0,0,33,33,240,114,1751285459127.0,276,1,85116,11,True,0,360,21,19,False,86283.0,0,2,5.5502382149296805,Anomaly,Anomaly
157,57,156,1751278300317,103,1751278434440.0,134123.0,True,-1,0,0,0,2,1,2,115.0,0,32,32,187,115,1751285500317.0,278,1,85116,11,True,0,361,21,19,False,86283.0,0,2,5.5538183420461396,Anomaly,Anomaly
159,57,158,1751278449651,110,1751279865363.0,1415712.0,True,-1,0,0,0,2,1,2,115.0,0,23,23,93,117,1751285649651.0,277,1,85116,11,True,0,362,21,19,False,86283.0,0,2,5.649812466274712,Anomaly,Anomaly
79,29,78,1750931973810,104,1751278706933.0,346733123.0,True,-1,0,0,0,2,0,2,139.0,0,44,44,96,53,1750939173810.0,147,1,89515,46,False,0,34,84,67,False,90682.0,0,2,4.789640744640806,Anomaly,Anomaly
